name,sell_price,sell_listings
Arms of Forgotten Epoch,$0.08,75
Arms of Harsh Sojourn,$0.46,24
Arms of Harvest's Hound,$0.17,63
Arms of Nezzureem,$0.07,50
Arms of Rising Fury,$17.10,38
Arms of Rising Fury Loading Screen,$0.08,72
Arms of the Ageless Witness,$0.08,538
Arms of the Ancient Seal,$0.03,675
Arms of the Arctic Owlbear Clan,$0.12,47
Arms of the Barren Survivor,$0.04,115
Arms of the Bitterwing Legacy,$0.17,112
Arms of the Black Wind Raven,$22.00,3
Arms of the Bladebreaker Dagger Pack,$46.00,4
Arms of the Bladebreaker Order Set,$0.04,148
Arms of the Bogatyr,$1.10,76
Arms of the Bogatyr Loading Screen,$0.03,1696
Arms of the Boilerplate Bruiser,$0.09,81
Arms of the Boreal Sentinel,$0.15,53
Arms of the Bramble Lord Set,$0.04,181
Arms of the Breach Warden,$0.16,61
Arms of the Captive Princess,$9.22,7
Arms of the Captive Princess Loading Screen,$0.03,215
Arms of the Cryogenic Embrace,$0.03,935
Arms of the Dark Reservoir,$0.43,34
Arms of the Deep Vault Guardian Set,$0.34,90
Arms of the Eternal Seasons,$0.03,865
Arms of the First Ways,$0.36,105
Arms of the Forlorn Maze,$0.13,123
Arms of the Frostshard Ascendant,$0.26,58
Arms of the Ghastly Gourmand,$0.04,103
Arms of the Guardian of the Sapphire Flame,$0.09,73
Arms of the Gwimyeon Warrior Set,$0.24,109
Arms of the Icebrew Angler,$0.06,43
Arms of the Iron Hog,$0.06,70
Arms of the Jade General,$0.17,52
Arms of the Master Weaver,$0.03,713
Arms of the Maze Keeper,$0.11,154
Arms of the Monument of Ruin,$0.07,102
Arms of the Northern Exiles,$0.04,68
Arms of the Onyx Crucible,$0.19,145
Arms of the Onyx Crucible Blade,$0.03,1386
Arms of the Onyx Crucible Bracers,$0.03,1739
Arms of the Onyx Crucible Helmet,$0.03,870
Arms of the Onyx Crucible Loading Screen,$0.04,1062
Arms of the Onyx Crucible Shoulders,$0.03,989
Arms of the Onyx Crucible War Banners,$0.03,1076
Arms of the Penitent Nomad Set,$0.03,200
Arms of the Scouring Dunes,$0.03,388
Arms of the Seasoned Expeditionary,$0.08,58
Arms of the Shambling Draug,$0.05,80
Arms of the Silent Champion,$0.03,2062
Arms of the Sleepless Sect,$0.11,115
Arms of the Splintering Awe,$0.03,694
Arms of the Stoutheart Growler,$0.04,74
Arms of the Surging Wind,$0.29,64
Arms of the Valkyrie,$0.03,806
Arms of the War-Burrow Ravager,$0.08,48
Arms of Vile Reliquary,$0.34,55
Arms of Winter's Warden,$0.13,91
Arms of Zebulon,$0.17,94
Armwraps of Shades,$0.03,699
Arnabus the Fairy Rabbit,$0.03,843
Array of Tranquility,$0.59,111
Array of Tranquility Loading Screen,$0.03,1729
Arrows of the Coastal Kingdom,$0.31,28
ARS-ART Autograph Avatar - The International 2021,$0.07,47
Arsenal Forge,$0.05,101
Arsenal Magus Loading Screen,$0.04,147
Arsenal of the Bladekeeper,$0.76,72
Arsenal of the Butcher's Wake,$0.18,53
Arsenal of the Demonic Vessel,$6.03,50
Art of War,$3.10,1
ArtCyber Season 1,$5.99,1
Artgerm Loading Screen Bundle,$1.18,13
Artificer's Chisel,$1.06,89
Artificer's Hammer,$0.96,158
Artillery of the Crested Cannoneer Set,$0.17,115
Artillery of the Dwarf Gyrocopter,$0.03,381
Artisan of Havoc,$0.10,119
Artisan of Havoc Armor,$0.03,769
Artisan of Havoc Helmet,$0.03,423
Artisan of Havoc Hook,$0.03,545
Artisan of Havoc Loading Screen,$0.03,581
Artisan of Havoc Rocket,$0.03,616
Arts of War Open,$7.20,3
ArtStyle Autograph Avatar - The International 2021,$0.06,41
AsacsPLAY League Season 1,$12.48,2
Ascendance of the Rime Lord,$2.27,50
Ascendance of the Rime Lord Loading Screen,$0.03,383
Ascendant Bounty Hunter Loading Screen,$0.03,4265
Ascendant Brewmaster Loading Screen,$0.03,2174
Ascendant Crystal Maiden Loading Screen,$0.03,1026
Ascendant Faceless Void  Loading Screen,$0.03,2267
Ascendant Form of the Atniw,$467.67,1
Ascendant Icewrack Pack,$167.74,1
Ascendant Lone Druid Loading Screen,$0.03,4392
Ascendant Nyx Loading Screen,$0.03,4753
Ascendant Phantom Lancer  Loading Screen,$0.03,2465
Ascendant Razor Loading Screen,$0.03,2214
Ascendant Riki Loading Screen,$0.03,2270
Ascendant Skywrath Mage Loading Screen,$0.03,2513
Ascendant Spirit of Calm,"$1,755.18",1
Ascendant Timbersaw Loading Screen,$0.03,2369
Ascendant Tusk Loading Screen,$0.03,2587
Ascendant Ursa Loading Screen,$0.03,2459
Ascendant Vengeful Spirit Loading Screen,$0.03,2343
ASEAN Games for Esports 2016,$1.72,3
Ashborn Horns,$0.16,86
Ashtongue,$0.19,247
Asian Cyber Games Dota 2 Championship 2013,$13.22,1
Aspect Mask of Fulminant Rage,$0.17,98
